cell_id,area,perimeter,centroid_x,centroid_y,eccentricity,solidity,extent,major_axis_length,minor_axis_length,orientation,equivalent_diameter,convex_area,filled_area,euler_number,feret_diameter_max,num_neighbors,junctions_3_cell,junctions_4_cell,junctions_5_cell,junctions_6_cell,junctions_7_cell,junctions_8plus_cell,total_junctions
1,1849.0,169.84062043356593,22.020010816657653,25.170903190914007,0.6185120160598734,0.9655352480417755,0.8239750445632799,56.20914249209405,44.16775808993926,-0.5746660430955902,48.520304185107044,1915.0,1849.0,1,61.84658438426491,3,2,2,0,0,0,0,4
2,763.0,135.49747468305833,125.7129750982962,11.09043250327654,0.9362014250921904,0.8739977090492554,0.6422558922558923,56.130116084457924,19.727710995905106,-1.44089518750017,31.1686023528956,873.0,763.0,1,54.230987451824994,4,1,3,0,0,0,0,4
3,1596.0,159.39696961967,164.7938596491228,25.555764411027567,0.6917628125748718,0.950565812983919,0.7542533081285444,53.58803819345314,38.697250782655125,-0.5698777183802124,45.078712419470456,1679.0,1596.0,1,57.38466694161429,5,3,2,0,0,0,0,5
4,3325.0,245.92388155425118,214.53203007518798,29.226766917293233,0.8273215028517639,0.9042697851509383,0.6576344936708861,89.47491986070368,50.26063029772075,-1.1143511984254542,65.06551687525749,3677.0,3325.0,1,93.08598175880189,7,5,2,0,0,0,0,7
5,145.0,53.970562748477136,262.3103448275862,6.310344827586207,0.929939258600859,0.9119496855345912,0.7004830917874396,23.31019464305084,8.571465563023054,-1.4486565768548514,13.58748446131949,159.0,145.0,1,23.345235059857504,2,2,0,0,0,0,0,2
6,2139.0,187.88225099390857,281.96727442730247,23.88639551192146,0.7710650575639552,0.9596231493943472,0.7265625,66.40126875593978,42.28143097469727,-1.2110566535889258,52.18677405424207,2229.0,2139.0,1,71.19691004531025,5,6,1,0,0,0,0,7
7,498.0,97.35533905932738,333.39156626506025,10.763052208835342,0.8775859750049906,0.8908765652951699,0.640926640926641,38.14957961920121,18.28964440867245,1.4236069426250229,25.180812005932435,559.0,498.0,1,37.8549864614954,4,2,1,0,0,0,0,3
8,514.0,125.45584412271572,379.0972762645914,8.023346303501945,0.9776298979274942,0.8831615120274914,0.6556122448979592,58.39068830662855,12.281462518916435,1.5183056545796074,25.582125126616702,582.0,514.0,1,56.142675390472796,3,1,1,0,0,0,0,2
9,2167.0,181.98275605729688,424.49561605906786,24.789570835256114,0.6490068069670016,0.9665477252453167,0.8025925925925926,60.79964843890091,46.25531462034049,1.5425522507666762,52.527231922509465,2242.0,2167.0,1,61.61168720299745,5,2,1,1,0,0,0,4
10,615.0,106.42640687119285,461.7642276422764,13.138211382113822,0.5778006473463857,0.9461538461538461,0.6507936507936508,32.64457536569057,26.643781917840904,-1.4475078901259255,27.982893345973448,650.0,615.0,1,35.38361202590826,3,1,0,2,0,0,0,3
11,652.0,107.94112549695427,494.6334355828221,12.047546012269938,0.8713380510998016,0.9532163742690059,0.7392290249433107,41.94690674766575,20.582642345138485,-1.4136099127571335,28.812361638146328,684.0,652.0,1,44.598206241955516,3,2,0,1,0,0,0,3
12,1689.0,166.2609306503489,536.626998223801,20.338661930136176,0.7477507554800126,0.9542372881355933,0.7407894736842106,57.73614188511624,38.33561597985928,-1.400491501349485,46.37350095752627,1770.0,1689.0,1,62.6418390534633,6,2,2,1,0,0,0,5
13,1966.0,177.88225099390854,583.9857578840284,26.483723296032554,0.4758836677924975,0.9470134874759152,0.7138707334785767,54.15083132744812,47.626102062900145,0.054589951629713425,50.03187928660416,2076.0,1966.0,1,60.03332407921454,6,4,2,0,0,0,0,6
14,287.0,67.21320343559643,614.609756097561,9.320557491289199,0.7168774728987704,0.9534883720930233,0.7340153452685422,23.617555856115292,16.466140445351254,-1.3737641362086705,19.115955360352558,301.0,287.0,1,23.600847442411894,3,2,0,0,0,0,0,2
15,2022.0,188.50966799187805,660.9510385756677,19.57418397626113,0.7631455675315747,0.9578398863098058,0.6464194373401535,66.14006468744314,42.74147036563694,1.4989231733821218,50.73943593945935,2111.0,2022.0,1,68.59300255857006,5,2,2,0,0,0,0,4
16,1557.0,160.8111831820431,709.1136801541426,30.54335260115607,0.8586102865664379,0.9482338611449452,0.7414285714285714,62.89025655390654,32.239362221320704,0.24521595579392005,44.52453223957157,1642.0,1557.0,1,62.96824596572466,6,4,4,0,0,0,0,8
17,361.0,99.94112549695429,734.5401662049861,7.914127423822714,0.9680211076311854,0.8554502369668247,0.6311188811188811,44.908867031484384,11.266231824267999,-1.5604942158810893,21.43920417481474,422.0,361.0,1,44.181444068749045,3,2,1,0,0,0,0,3
18,853.0,111.698484809835,892.9015240328254,18.82649472450176,0.5384273711593621,0.9627539503386005,0.8403940886699507,36.378617068140784,30.655239118303392,0.262531105642657,32.9556267071208,886.0,853.0,1,39.20459156782532,4,1,3,0,0,0,0,4
19,1734.0,160.06601717798213,1015.8189158016147,23.086505190311417,0.47098039363667443,0.9791078486730661,0.6434137291280149,50.85783792790901,44.863920209883034,-1.1207390696868775,46.987204328101626,1771.0,1734.0,1,55.44366510251645,4,3,1,1,0,0,0,5
