cell_id,area,perimeter,centroid_x,centroid_y,eccentricity,solidity,extent,major_axis_length,minor_axis_length,orientation,equivalent_diameter,convex_area,filled_area,euler_number,feret_diameter_max,num_neighbors,junctions_3_cell,junctions_4_cell,junctions_5_cell,junctions_6_cell,junctions_7_cell,junctions_8plus_cell,total_junctions
1,1595.0,157.01219330881977,23.344200626959246,23.784952978056427,0.6333219223127362,0.9696048632218845,0.8055555555555556,51.77079228389797,40.064818519461745,0.7742874187739559,45.06458780298101,1645.0,1595.0,1,60.207972893961475,4,3,1,0,1,0,0,5
2,865.0,123.80508652763321,58.27976878612717,13.221965317919075,0.7941602294574073,0.9526431718061674,0.6964573268921095,44.053524462335645,26.771697971495826,1.486643756894428,33.186626918021,908.0,865.0,1,47.07440918375928,4,0,3,0,0,0,0,3
3,696.0,113.25483399593904,99.61206896551724,12.086206896551724,0.8101538336879194,0.96,0.6529080675422139,40.861148572228025,23.953513687486826,1.420850166803453,29.768686956862464,725.0,696.0,1,41.593268686170845,3,1,3,0,0,0,0,4
4,1407.0,150.36143571373728,127.8045486851457,25.420753375977256,0.69670231620045,0.9274884640738299,0.7127659574468085,50.479530695811576,36.21201418948991,-0.5451230006427411,42.32550105364819,1517.0,1407.0,1,55.226805085936306,5,1,5,1,1,0,0,8
6,1386.0,145.39696961967002,167.38672438672438,21.595959595959595,0.427477582004952,0.9585062240663901,0.7682926829268293,44.900661562246185,40.591363189914176,0.22670355220448649,42.00845163777089,1446.0,1386.0,1,48.02082881417188,6,0,1,2,2,1,0,6
7,1150.0,154.8111831820431,210.04086956521738,21.362608695652174,0.8800538899345798,0.8309248554913294,0.575,57.88508918058876,27.488113779186744,0.8651889652513425,38.26519928662906,1384.0,1150.0,1,57.688820407423826,7,0,0,1,3,0,0,4
8,305.0,72.42031021678298,225.35409836065574,11.236065573770492,0.7372855379658988,0.9159159159159159,0.6314699792960663,25.295770975400128,17.089348765386976,0.6190684411166953,19.706294962377495,333.0,305.0,1,30.479501308256342,2,0,0,0,2,0,0,2
9,524.0,89.79898987322332,244.65458015267177,13.26526717557252,0.6159094309120137,0.9632352941176471,0.8061538461538461,29.751460874968434,23.438705659395694,-0.9571886113029117,25.829779740470595,544.0,524.0,1,33.301651610693426,4,0,1,1,2,0,0,4
10,353.0,75.69848480983501,267.2889518413598,11.263456090651559,0.7345389921609617,0.9489247311827957,0.7003968253968254,26.540762624239694,18.009671894218144,-1.033766822079801,21.200319792199185,372.0,353.0,1,28.844410203711913,4,0,1,2,0,1,0,4
11,541.0,93.01219330881976,296.7134935304991,12.752310536044362,0.7773251314367886,0.9575221238938053,0.6918158567774936,33.587036637571856,21.12957351707462,1.169116124922154,26.245429958408437,565.0,541.0,1,37.16180835212409,5,0,0,2,3,1,0,6
12,348.0,86.31980515339464,321.5201149425287,8.221264367816092,0.8999029527319586,0.9133858267716536,0.584873949579832,33.99332989037199,14.824158542233796,-1.4633028265768921,21.049640414216977,381.0,348.0,1,35.12833614050059,3,0,1,0,3,0,0,4
13,139.0,45.21320343559643,342.8776978417266,9.302158273381295,0.5447269555606766,0.9391891891891891,0.6619047619047619,14.888902319846045,12.48603396632389,-0.42820376578510416,13.303394180365686,148.0,139.0,1,16.1245154965971,3,0,1,0,1,0,0,2
14,1426.0,153.25483399593904,364.66619915848526,22.88008415147265,0.6474182670925444,0.9481382978723404,0.7427083333333333,49.91664450134482,38.04321626401415,-0.2644193362910118,42.61032258493641,1504.0,1426.0,1,55.072679252057455,5,1,2,2,1,0,0,6
15,1280.0,166.61017305526644,398.07109375,38.16171875,0.9041472412351776,0.9460458240946046,0.5161290322580645,63.71748927291114,27.221448241234413,0.523484508369975,40.370120352322566,1353.0,1280.0,1,70.71067811865476,6,1,1,3,0,0,0,5
16,903.0,138.29646455628165,410.8427464008859,19.53156146179402,0.8625220991287929,0.8826979472140762,0.4777777777777778,50.51518923435178,25.5616655145578,0.5726057568618478,33.90774703361832,1023.0,903.0,1,53.53503525729669,3,0,1,2,0,0,0,3
17,692.0,101.01219330881975,434.521676300578,15.965317919075144,0.46496957978680864,0.9664804469273743,0.7440860215053764,32.04791534644232,28.372873762517933,0.3937500545646083,29.683021493047715,716.0,692.0,1,35.35533905932738,4,0,1,0,0,0,0,1
18,237.0,65.24873734152916,456.2236286919831,7.957805907172996,0.8049842952265185,0.9595141700404858,0.6510989010989011,24.007758578727515,14.243709982923276,-1.3986305927156897,17.371176474327626,247.0,237.0,1,26.076809620810597,3,0,0,0,0,0,0,0
