cell_id,area,perimeter,centroid_x,centroid_y,eccentricity,solidity,extent,major_axis_length,minor_axis_length,orientation,equivalent_diameter,convex_area,filled_area,euler_number,feret_diameter_max,num_neighbors,junctions_3_cell,junctions_4_cell,junctions_5_cell,junctions_6_cell,junctions_7_cell,junctions_8plus_cell,total_junctions
1,746.0,126.08326112068524,505.37131367292227,11.093833780160859,0.8843075064056193,0.9407313997477932,0.6216666666666667,47.79985316710359,22.31798814411733,1.4146825174593085,30.81942083122964,793.0,746.0,1,50.08991914547278,2,3,1,0,0,0,0,4
2,1313.0,149.2903679018718,25.344249809596345,16.884996191926884,0.7013856338114011,0.9576951130561634,0.7294444444444445,49.94959036555219,35.6031693810096,-1.5688402527490166,40.887204871906675,1371.0,1313.0,1,54.12947441089743,3,4,1,0,0,0,0,5
3,1379.0,148.08326112068522,68.2356780275562,19.11530094271211,0.6220514286426087,0.9683988764044944,0.7606177606177607,48.20528357481709,37.7435986915047,-1.3403339666936094,41.90223540802793,1424.0,1379.0,1,54.56189146281496,3,4,1,0,0,0,0,5
4,2337.0,219.92388155425118,108.43046640992726,25.931108258451005,0.8666853646617827,0.9186320754716981,0.5578897111482454,80.95083669900777,40.38274324453158,-0.896265464402151,54.54870132318528,2544.0,2337.0,1,88.86506625215557,3,3,0,0,0,0,0,3
6,1541.0,170.71067811865476,284.8033744321869,17.34393251135626,0.816229944568717,0.9697923222152297,0.6315573770491804,61.78519304211432,35.694984437144235,1.2365036783122245,44.29517059947829,1589.0,1541.0,1,65.0,3,2,2,0,0,0,0,4
7,2029.0,188.45584412271572,339.97240019714144,19.328240512567767,0.8264779921975626,0.9694218824653608,0.8391232423490488,69.26370902074075,38.99332306155092,1.498611052583005,50.82718796340838,2093.0,2029.0,1,68.0294054067798,4,2,3,1,0,0,0,6
8,3443.0,296.12489168102786,423.3981992448446,21.153935521347663,0.9303463097487107,0.841192279501588,0.6072310405643739,118.91594925737823,43.60434699358689,1.4152030670716098,66.20999737594894,4093.0,3443.0,1,114.96521212958292,6,7,3,3,0,0,0,13
9,1721.0,184.95331880577402,489.9413131900058,30.839628123184195,0.7925243579497809,0.8691919191919192,0.6135472370766488,63.19456344428972,38.538588967225905,0.9664340949478556,46.810738687711556,1980.0,1721.0,1,66.70832032063167,5,7,4,2,0,0,0,13
10,2203.0,217.78174593052026,552.5142986836132,18.93145710394916,0.9072922995323387,0.9540926808142053,0.6247872943845717,84.63746171671693,35.59009624963794,-1.288712638706093,52.96174767746589,2309.0,2203.0,1,91.92388155425118,5,7,3,0,0,0,0,10
11,2351.0,191.68124086713192,612.3998298596342,24.895789025946407,0.7882933291332281,0.9755186721991701,0.7249460376194882,70.14508662462282,43.160245422699916,-1.2238855919197897,54.71184670318091,2410.0,2351.0,1,71.56814934033156,4,4,1,0,0,0,0,5
12,361.0,91.55634918610404,661.3157894736842,7.537396121883656,0.9584070507667916,0.907035175879397,0.7307692307692307,41.88055442562351,11.952913107015544,1.4987816892402661,21.43920417481474,398.0,361.0,1,38.47076812334269,3,1,2,0,0,0,0,3
13,748.0,117.01219330881976,696.2139037433155,11.942513368983958,0.8706406577165291,0.9777777777777777,0.7069943289224953,45.53628752340793,22.40019013470158,-1.3600733824818656,30.860706075232656,765.0,748.0,1,47.80167361086848,3,0,5,0,0,0,0,5
14,1366.0,167.81727983645297,707.415812591508,31.808931185944363,0.7901665133785739,0.8375229920294298,0.5259915286869464,56.50521043093035,34.63160422207446,-0.936348176495527,41.70425899243664,1631.0,1366.0,1,62.00806399170998,6,2,4,2,0,0,0,8
