cell_id,area,perimeter,centroid_x,centroid_y,eccentricity,solidity,extent,major_axis_length,minor_axis_length,orientation,equivalent_diameter,convex_area,filled_area,euler_number,feret_diameter_max,num_neighbors,junctions_3_cell,junctions_4_cell,junctions_5_cell,junctions_6_cell,junctions_7_cell,junctions_8plus_cell,total_junctions
1,1607.0,160.4619407771256,23.18917237087741,24.000622277535783,0.6097134740993974,0.9582587954680978,0.7939723320158103,51.482523406933254,40.80617562163888,0.7860119981268215,45.23379210711176,1677.0,1607.0,1,60.30754513325841,4,1,0,0,0,0,0,1
2,841.0,127.11879502661796,58.27229488703924,13.532699167657551,0.801034461634061,0.9303097345132744,0.677133655394525,44.062278303447385,26.37648326809269,1.491911616853582,32.722995845769866,904.0,841.0,1,47.07440918375928,4,2,0,0,0,0,0,2
3,686.0,115.87615433949868,99.71574344023324,12.466472303206997,0.8265908692689387,0.9257759784075573,0.6282051282051282,41.66819496930484,23.450996906368132,1.4469888504607762,29.554057719513263,741.0,686.0,1,42.95346318982906,3,1,0,0,0,0,0,1
4,1397.0,147.39696961967002,127.93843951324266,25.368647100930566,0.7081539499003063,0.9375838926174497,0.7230848861283644,50.67169717660246,35.77716017490516,-0.5541983119427547,42.17482239435066,1490.0,1397.0,1,54.378304497290095,5,1,0,0,0,0,0,1
6,1352.0,140.91168824543144,168.1198224852071,21.326183431952664,0.39901204653185424,0.9657142857142857,0.786046511627907,44.078780718111204,40.41784771901971,0.07612540340014132,41.489997161749,1400.0,1352.0,1,47.4236228055175,6,1,0,0,0,0,0,1
7,913.0,143.39696961967,209.11500547645127,17.91566265060241,0.9195135809092759,0.8269927536231884,0.5175736961451247,57.17663995993567,22.473749071116245,1.0335951153990486,34.09498063268556,1104.0,913.0,1,57.42821606144492,7,2,0,0,0,0,0,2
8,311.0,70.76345596729058,225.36655948553056,11.2508038585209,0.702539333679445,0.9688473520249221,0.7404761904761905,24.45709223487,17.404765317549632,0.6453633550909029,19.899183360445615,321.0,311.0,1,28.319604517012593,2,0,0,0,0,0,0,0
9,512.0,89.79898987322333,244.8671875,13.173828125,0.6034142107156822,0.9715370018975332,0.8192,29.350749769931195,23.40510738936542,-0.9744532499669329,25.532305945691693,527.0,512.0,1,33.301651610693426,4,1,0,0,0,0,0,1
10,337.0,76.2842712474619,267.44213649851633,11.305637982195845,0.7718063580686159,0.9232876712328767,0.674,26.972437877994146,17.150630848945244,-1.0733928900241543,20.71428798138497,365.0,337.0,1,29.68164415931166,4,0,0,0,0,0,0,0
11,690.0,108.66904755831214,301.6811594202899,11.924637681159421,0.8694169915138008,0.957004160887656,0.7293868921775899,43.358404938553626,21.422478960715537,1.544913814022552,29.640095915284455,721.0,690.0,1,43.56604182158393,5,2,2,0,0,0,0,4
12,1246.0,153.8761543394987,366.5280898876405,22.009630818619584,0.6939811801932046,0.8970482361411087,0.6831140350877193,49.495514563141,35.63643094247086,-0.06021602994516888,39.830346128799995,1389.0,1246.0,1,55.072679252057455,6,3,1,0,0,0,0,4
13,636.0,105.25483399593905,405.84119496855345,13.437106918238994,0.7283407917609072,0.956390977443609,0.6489795918367347,35.93709525953338,24.624639215064466,1.0529424690405003,28.456639830653998,665.0,636.0,1,40.311288741492746,4,2,0,0,0,0,0,2
14,709.0,104.66904755831214,433.94922425952046,15.891396332863188,0.47664297950265744,0.9478609625668449,0.7147177419354839,32.679329976051356,28.728299729896197,0.8560215340352687,30.045412914740087,748.0,709.0,1,36.359317925395686,4,0,0,0,0,0,0,0
15,252.0,68.76955262170048,456.92063492063494,8.484126984126984,0.7772478971392345,0.9473684210526315,0.6057692307692307,24.128411719621738,15.181463709242161,-1.3554536249707327,17.91246396432554,266.0,252.0,1,26.1725046566048,3,0,0,0,0,0,0,0
16,2189.0,185.40306627407986,482.4783005938785,29.2243033348561,0.65574598948641,0.9529821506312581,0.715359477124183,61.74469976598556,46.616111441202655,-0.24145999522514675,52.793194290791604,2297.0,2189.0,1,67.60177512462228,5,0,0,0,0,0,0,0
17,978.0,128.18376618407356,520.0020449897751,17.676891615541923,0.549583870224221,0.9588235294117647,0.7342342342342343,39.936073710607644,33.36413548392362,-0.6377393416000605,35.28779214899948,1020.0,978.0,1,46.69047011971501,4,0,0,0,0,0,0,0
18,789.0,116.5685424949238,549.8707224334601,16.186311787072242,0.8232563687752178,0.9789081885856079,0.6322115384615384,43.30446626661541,24.582635776163396,-0.8687452748301691,31.695204697178458,806.0,789.0,1,46.87216658103186,4,1,0,0,0,0,0,1
19,370.0,81.73401871576775,583.4108108108109,9.632432432432433,0.8348362176061267,0.9414758269720102,0.6630824372759857,30.222556880473157,16.637469244230914,-1.3489225931799032,21.70480664627101,393.0,370.0,1,32.01562118716424,4,2,0,0,0,0,0,2
20,746.0,109.63961030678928,608.7359249329759,19.660857908847184,0.7699897652667895,0.9539641943734015,0.6170388751033913,39.506406596347176,25.20730912436879,0.42808168584015976,30.81942083122964,782.0,746.0,1,41.43669871020132,5,0,2,0,0,0,0,2
21,1116.0,137.74011537017762,657.8933691756272,20.364695340501793,0.6223319949495659,0.8913738019169329,0.6804878048780488,43.3049224575793,33.897075369257784,0.7443108896655585,37.69529588588531,1252.0,1116.0,1,47.70744176750625,6,0,1,0,0,0,0,1
