cell_id,area,perimeter,centroid_x,centroid_y,eccentricity,solidity,extent,major_axis_length,minor_axis_length,orientation,equivalent_diameter,convex_area,filled_area,euler_number,feret_diameter_max,num_neighbors,junctions_3_cell,junctions_4_cell,junctions_5_cell,junctions_6_cell,junctions_7_cell,junctions_8plus_cell,total_junctions
1,1468.0,165.29646455628168,284.9257493188011,17.905313351498638,0.811746859129823,0.9619921363040629,0.6379834854411126,59.81905188675785,34.93489154087536,1.2446616645033544,43.23327019404407,1526.0,1468.0,1,63.56099432828282,4,3,0,0,0,0,0,3
2,2032.0,187.698484809835,339.73228346456693,19.48474409448819,0.8315055756477485,0.9653206650831354,0.8487886382623224,69.73220036966062,38.73738135263491,1.530899760104997,50.86474962979618,2105.0,2032.0,1,68.54195795277518,4,1,0,0,0,0,0,1
3,661.0,120.66904755831214,505.2405446293495,11.605143721633889,0.8816336145167799,0.9167822468793343,0.5987318840579711,45.31529663298873,21.385851737079204,1.4222955182944343,29.010538413996088,721.0,661.0,1,48.041648597857254,2,1,0,0,0,0,0,1
4,2227.0,229.30865786510142,551.9824876515491,19.1621014818141,0.910054314696061,0.9392661324335724,0.60254329004329,86.22053570699346,35.73746499570109,-1.3013813513797468,53.249455078199695,2371.0,2227.0,1,93.23089616645332,5,3,0,0,0,0,0,3
5,2286.0,192.6812408671319,612.5524934383202,24.894575678040244,0.7892498861332158,0.9621212121212122,0.6948328267477204,69.29091433832214,42.54962141081235,-1.2379820506494517,53.95021407987722,2376.0,2286.0,1,72.03471385380801,6,0,0,0,0,0,0,0
6,321.0,88.55634918610406,661.3271028037383,7.70404984423676,0.9606430593314903,0.8582887700534759,0.6858974358974359,40.50497995534501,11.251705481421427,1.5274814153952885,20.216574731145414,374.0,321.0,1,36.49657518178932,3,0,0,0,0,0,0,0
7,578.0,100.18376618407358,911.553633217993,13.94636678200692,0.7739651807228748,0.9475409836065574,0.6736596736596736,35.564091675748045,22.52018423313794,-0.9767645445665928,27.128075067297424,610.0,578.0,1,40.22437072223753,2,1,0,0,0,0,0,1
8,3226.0,227.6223663640862,946.9376937383757,36.89832610043398,0.5861784834625946,0.9485445457218465,0.6695724366957244,71.69442501437071,58.08552877112005,0.3623480851766721,64.0895527470401,3401.0,3226.0,1,76.53757247260981,6,1,0,0,0,0,0,1
9,1824.0,171.2903679018718,991.405701754386,22.77905701754386,0.4462031049018218,0.9681528662420382,0.7647798742138365,52.49432042091395,46.97883263209827,1.1132185415008518,48.19117066016281,1884.0,1824.0,1,59.20304046246274,3,0,0,0,0,0,0,0
10,1053.0,158.36753236814715,1277.8300094966762,29.890788224121557,0.9376965385709491,0.908541846419327,0.4696699375557538,63.754146842271375,22.151717690187084,0.5060019638398493,36.61586050615398,1159.0,1053.0,1,67.7421582177598,3,2,0,0,0,0,0,2
11,3146.0,279.9238815542512,1310.8026064844246,43.05785123966942,0.9087751701184015,0.865474552957359,0.5386064030131826,102.08924078520391,42.60042125213227,0.32547896298173384,63.28990130926751,3635.0,3146.0,1,107.83784122468327,6,2,0,0,0,0,0,2
12,1677.0,213.53910524340094,1340.5855694692905,41.52236135957066,0.967533792449576,0.8418674698795181,0.49881023200475905,95.40185666838575,24.112026220049003,0.2321765422228238,46.208470181568096,1992.0,1677.0,1,88.02272433866155,4,3,0,0,0,0,0,3
13,1384.0,182.91168824543144,1359.8540462427745,34.00722543352601,0.950120347227143,0.9282360831656606,0.6115775519222272,78.1736384763584,24.381069005001358,0.1283309051601889,41.97813156768016,1491.0,1384.0,1,76.24303246854758,4,1,1,0,0,0,0,2
14,239.0,63.834523779156065,1374.234309623431,10.393305439330543,0.6482698806911882,0.9263565891472868,0.6988304093567251,20.91854679944659,15.927604093845835,0.5673857593930836,17.44431859350499,258.0,239.0,1,23.430749027719962,3,1,1,0,0,0,0,2
15,2306.0,197.7817459305202,1404.614050303556,33.62098872506505,0.8322084118399031,0.965257429886982,0.7009118541033434,73.40462458686152,40.700144449815944,0.3302008688087231,54.18570282057145,2389.0,2306.0,1,76.15773105863909,3,0,1,0,0,0,0,1
16,2857.0,213.7523086789974,1543.6573328666434,33.43262163108155,0.6565829269663351,0.9590466599530043,0.6887656702025072,70.03881956576899,52.827048832267465,0.4636974526915326,60.3128956302743,2979.0,2857.0,1,73.24616030891995,5,1,0,0,0,0,0,1
17,706.0,111.91168824543142,1575.1869688385268,13.93342776203966,0.6213631793521797,0.9592391304347826,0.6360360360360361,35.3898940762602,27.72878486092154,1.2025621371489472,29.98177977677484,736.0,706.0,1,39.824615503479755,4,1,0,0,0,0,0,1
18,609.0,122.76955262170047,1618.2052545155993,10.904761904761905,0.9226859000703792,0.8152610441767069,0.564935064935065,49.48558568619437,19.07929124672274,1.3921028334947727,27.846056861676377,747.0,609.0,1,49.16299421312742,4,3,0,0,0,0,0,3
19,213.0,55.935028842544405,1644.6995305164319,9.774647887323944,0.6725627335798792,0.9424778761061947,0.7888888888888889,19.35206380393559,14.321303491445597,-0.9689915073049731,16.46815177937675,226.0,213.0,1,22.20360331117452,3,3,0,0,0,0,0,3
20,586.0,96.42640687119287,1667.230375426621,13.361774744027304,0.7110522074455818,0.948220064724919,0.682983682983683,33.2562969903018,23.383806621430793,-1.3432005600752381,27.315167457198672,618.0,586.0,1,34.785054261852174,4,2,0,0,0,0,0,2
21,1210.0,140.22539674441617,1706.4545454545455,17.712396694214878,0.7161385943561422,0.9603174603174603,0.7306763285024155,48.00219319401509,33.50351970601327,1.3239460947691482,39.25073055536097,1260.0,1210.0,1,49.193495504995376,4,0,0,0,0,0,0,0
22,435.0,83.698484809835,207.8206896551724,12.797701149425288,0.8109595421337121,0.9753363228699552,0.7397959183673469,31.433843325105155,18.392011866511652,-1.0337809616918519,23.534213434057992,446.0,435.0,1,34.40930106817051,1,0,0,0,0,0,0,0
23,157.0,54.59188309203678,238.61146496815286,8.031847133757962,0.8268310737326979,0.9345238095238095,0.6541666666666667,20.064666131002415,11.285378118702235,-1.3209381306643018,14.138550439257221,168.0,157.0,1,20.248456731316587,2,2,0,0,0,0,0,2
24,3544.0,232.24978336205572,253.41450338600453,46.44638826185101,0.48453173799572147,0.940552016985138,0.6219726219726219,72.67989056206441,63.57845548077352,0.9493059279550101,67.1741091979746,3768.0,3544.0,2,77.10382610480494,7,6,0,0,0,0,0,6
25,1802.0,172.2842712474619,398.15704772475027,19.726970033296336,0.8045789938177884,0.9693383539537386,0.8726392251815981,63.078659651232435,37.45898693445719,1.55020307426473,47.899662416480176,1859.0,1802.0,1,63.15853069855251,3,0,0,0,0,0,0,0
28,1500.0,169.2903679018718,452.796,25.766,0.7988832379457051,0.8839127872716559,0.6459948320413437,59.16943964558457,35.589597637898706,0.5621018805659395,43.70193722368317,1697.0,1500.0,1,64.40496875241847,4,0,1,0,0,0,0,1
29,1752.0,186.12489168102786,490.01883561643837,31.434360730593607,0.772765170576786,0.8690476190476191,0.6245989304812835,62.59161988692445,39.7264031843349,0.9447874891296796,47.23045291309417,2016.0,1752.0,1,67.35725647619564,5,3,1,0,0,0,0,4
30,722.0,115.84062043356595,695.5180055401662,12.570637119113574,0.8767436151582538,0.9743589743589743,0.6824196597353497,45.308775743698924,21.791619836998972,-1.3842965168427754,30.319613310508885,741.0,722.0,1,47.53945729601885,3,1,0,0,0,0,0,1
31,1565.0,175.50966799187808,710.4159744408946,31.17252396166134,0.8179574918273252,0.8519324986390855,0.5188992042440318,61.232034761758264,35.22548316823996,-1.0556491628641003,44.63877112455639,1837.0,1565.0,1,63.8200595424354,6,3,0,0,0,0,0,3
32,1301.0,152.21930009000633,751.4050730207533,20.617217524980784,0.332843312330946,0.9413892908827786,0.7991400491400491,43.27475501772406,40.8073213946634,1.2408570095890563,40.69993424688112,1382.0,1301.0,1,50.99019513592785,3,1,0,0,0,0,0,1
33,4280.0,296.04877323527904,1205.3084112149534,42.604205607476636,0.5351989757912781,0.914725368668519,0.6739096205321996,81.88892567655901,69.17370662979326,-0.29128724640191267,73.82049343824855,4679.0,4280.0,2,88.64536084872124,6,4,0,0,0,0,0,4
34,178.0,61.491378028648455,1237.5224719101125,7.52808988764045,0.8879582611596907,0.9468085106382979,0.5493827160493827,23.98652486410868,11.031979521934455,1.541278038944096,15.054455784347004,188.0,178.0,1,27.018512172212592,2,1,0,0,0,0,0,1
35,1159.0,150.0538238691624,1251.3321829163071,30.645383951682486,0.8667445594980628,0.9191118160190325,0.6333333333333333,55.2697966359517,27.565938847925633,-0.005609496194868307,38.414640859287665,1261.0,1159.0,1,61.1310068623117,5,3,0,0,0,0,0,3
36,1037.0,125.59797974644665,1475.8572806171649,20.706846673095466,0.5317532388626617,0.954001839926403,0.8493038493038493,40.02965328445177,33.90108696751224,0.2022504365791368,36.33661249883324,1087.0,1037.0,1,42.20189569201838,1,0,0,0,0,0,0,0
37,642.0,99.00609665440987,1504.063862928349,15.28816199376947,0.5138744981385984,0.9654135338345865,0.823076923076923,31.457946004766068,26.986682619319343,-1.0200743249624524,28.590554169515052,665.0,642.0,1,36.40054944640259,3,0,0,0,0,0,0,0
38,1084.0,131.45584412271572,1746.139298892989,18.331180811808117,0.5963890707706818,0.9635555555555556,0.8174962292609351,42.38801355322395,34.02466801153812,1.2415845241912604,37.150930896720695,1125.0,1084.0,1,48.16637831516918,3,1,0,0,0,0,0,1
39,1181.0,141.25483399593904,1775.8687552921253,28.05165114309907,0.7650121508306911,0.9402866242038217,0.7779973649538867,49.50473620955462,31.881834539575497,-0.13884591502545526,38.77751800118501,1256.0,1181.0,1,50.11985634456667,3,1,0,0,0,0,0,1
40,1534.0,161.3259018078045,789.5495436766623,25.604302477183833,0.25502980515540474,0.9399509803921569,0.7927648578811369,45.72251432996079,44.210616743674144,-0.167540140517522,44.1944505749731,1632.0,1534.0,1,53.600373133029585,3,1,0,0,0,0,0,1
41,2045.0,215.4802307403552,1138.1848410757946,39.81124694376528,0.8753134711082483,0.8679966044142614,0.597953216374269,77.05973641909272,37.26269170159303,-0.1674503313257244,51.02719734595863,2356.0,2045.0,1,77.27871634544663,2,0,1,0,0,0,0,1
42,1880.0,202.9655121145938,201.23031914893616,45.25851063829787,0.9006707117443531,0.9077740222114921,0.46766169154228854,76.18685255323008,33.10336444392405,-0.7564489067243043,48.925354818356766,2071.0,1880.0,1,81.27115109311545,3,1,0,0,0,0,0,1
43,1248.0,134.12489168102786,662.3798076923077,29.697115384615383,0.5439545160138481,0.9727201870615745,0.7074829931972789,43.92818917375493,36.860789404465045,0.8867803258427658,39.86229988133503,1283.0,1248.0,1,46.06517122512408,6,2,0,0,0,0,0,2
44,478.0,85.84062043356595,1604.5125523012553,21.39958158995816,0.8285579077994945,0.9637096774193549,0.6789772727272727,33.08296018535812,18.523261183502964,1.1577820924017164,24.669991941291908,496.0,478.0,1,33.24154027718932,4,1,0,0,0,0,0,1
45,2956.0,227.85891039679558,1638.9512855209744,51.8968200270636,0.7117512815470388,0.880548108430146,0.6516754850088183,74.57300716253897,52.38243464324825,-0.24062919654199358,61.34896978953388,3357.0,2956.0,2,83.43260753446461,10,5,0,0,0,0,0,5
46,3014.0,225.06601717798213,1688.7982747179828,59.21964167219642,0.833676582119522,0.9571292473801206,0.6928735632183908,83.98353303064175,46.380156577697555,0.30818504649388406,61.947913506685445,3149.0,3014.0,1,88.45903006477066,7,1,1,0,0,0,0,2
48,1211.0,165.15432893255073,1380.7398843930637,56.49545829892651,0.9091990356943936,0.8950480413895048,0.6009925558312655,63.86617259636084,26.59143189646225,0.08290647471627689,39.26694651579471,1353.0,1211.0,1,66.94027188471824,6,3,1,0,0,0,0,4
49,1706.0,176.8528137423857,1588.86694021102,50.96248534583822,0.7630308011679519,0.883937823834197,0.5981767180925667,60.111470130373114,38.85377756264524,-0.2783550866170303,46.60629424571522,1930.0,1706.0,1,62.03224967708329,8,2,0,0,0,0,0,2
50,1048.0,135.3259018078045,130.40458015267177,53.590648854961835,0.8339966253706415,0.9712696941612604,0.8061538461538461,49.87510592271938,27.51956441506967,0.011724248633240168,36.52882482208332,1079.0,1048.0,1,50.80354318352215,1,0,0,0,0,0,0,0
51,124.0,49.83452377915607,146.3951612903226,33.685483870967744,0.8734679525185435,0.8051948051948052,0.5610859728506787,19.03127673367394,9.265979316388098,1.19032851574183,12.565098628628435,154.0,124.0,1,20.248456731316587,1,0,0,0,0,0,0,0
52,114.0,49.00609665440987,907.6929824561404,34.48245614035088,0.9225193791920661,0.8769230769230769,0.475,20.614138192275476,7.95604245882951,-0.46263244348894395,12.047792665040703,130.0,114.0,1,22.360679774997898,2,1,0,0,0,0,0,1
53,2693.0,210.61017305526642,1733.0044559970293,62.627552914964724,0.7270265542848305,0.9536118980169972,0.7378082191780821,71.82452203124028,49.31538785542927,-0.15345336655549371,58.55624726681,2824.0,2693.0,1,73.06161783043132,7,2,0,0,0,0,0,2
54,1525.0,175.43860018001263,1514.3849180327868,61.29573770491803,0.8514303692249445,0.9448574969021065,0.6229575163398693,63.526189780580594,33.31743210145923,0.12437622379679185,44.06461512053774,1614.0,1525.0,1,68.46897107449476,4,1,1,0,0,0,0,2
55,2043.0,180.40916292848976,559.774351443955,55.766030347528144,0.7435661911182182,0.9682464454976303,0.6533418612088263,63.38334384047953,42.38205474832886,-0.6996869461049385,51.002239067456024,2110.0,2043.0,1,65.73431371817918,5,3,0,0,0,0,0,3
57,832.0,137.78174593052023,1157.076923076923,57.47355769230769,0.941557577528539,0.929608938547486,0.4781609195402299,57.11987418989708,19.240948803110992,-0.4606347773735415,32.54743156102575,895.0,832.0,1,61.68468205316454,4,1,1,0,0,0,0,2
58,3708.0,241.1370849898476,330.4261057173679,62.70145631067961,0.5449700049216559,0.969918911849333,0.6969924812030075,76.73988063701123,64.34297811299489,1.2336111805950505,68.71078686696859,3823.0,3708.0,1,80.05623023850174,9,5,0,0,0,0,0,5
59,680.0,145.39087296526012,393.5191176470588,42.52205882352941,0.9705265036111769,0.7649043869516311,0.49454545454545457,65.08517252559389,15.685162771055646,1.3944405567109883,29.42452872043851,889.0,680.0,1,58.52349955359813,5,1,1,0,0,0,0,2
60,3318.0,247.07211383239203,635.0105485232068,74.87823990355636,0.7780421219571891,0.9214107192446542,0.6085840058694058,84.1690456890946,52.87601387677071,-0.05712012110577222,64.99699077212168,3601.0,3318.0,1,95.03683496413377,5,1,0,0,0,0,0,1
61,1402.0,147.92388155425118,439.52924393723254,54.60841654778887,0.7508316232587022,0.9675638371290545,0.6220053238686779,52.50884797931956,34.68176112917145,0.7505215125581448,42.25022889545923,1449.0,1402.0,1,55.072679252057455,6,0,1,0,0,0,0,1
64,119.0,42.97056274847714,731.7731092436975,45.8235294117647,0.7815457902606814,0.937007874015748,0.6761363636363636,16.391894910967892,10.226048893926736,0.31770530402587066,12.309163489997376,127.0,119.0,1,17.46424919657298,3,1,0,0,0,0,0,1
65,2702.0,204.2670273047588,765.0370096225018,64.22242783123612,0.5640024998108246,0.9719424460431655,0.7279094827586207,65.90423876142243,54.42194624920045,1.5558543635991193,58.654013075614955,2780.0,2702.0,1,68.54195795277518,7,1,0,0,0,0,0,1
66,2592.0,208.06601717798213,1279.0555555555557,80.05054012345678,0.8507694161721536,0.9675251959686451,0.6646153846153846,79.49881022966638,41.7797373298394,0.3736650600763752,57.44768837780631,2679.0,2592.0,1,81.9084855189009,8,4,0,0,0,0,0,4
67,934.0,123.39696961967,525.6734475374732,61.438972162740896,0.7819123283365426,0.9530612244897959,0.6918518518518518,44.69332998124867,27.86130395307983,0.24017040346405574,34.484862400517734,980.0,934.0,1,46.57252408878007,6,4,0,0,0,0,0,4
69,157.0,52.07716446627534,1008.5668789808917,51.47770700636943,0.8854520665519621,0.9235294117647059,0.5688405797101449,21.19429366036541,9.849639255240048,0.30345833994451527,14.138550439257221,170.0,157.0,1,23.53720459187964,2,0,0,0,0,0,0,0
70,2337.0,186.7523086789974,681.7706461275139,75.62387676508344,0.7177807618752552,0.9749687108886108,0.7362948960302458,65.55366532129536,45.64299712237073,-0.057540701033344396,54.54870132318528,2397.0,2337.0,1,69.26037828369117,7,3,0,0,0,0,0,3
71,848.0,111.49747468305833,719.5837264150944,61.78655660377358,0.24585777111249738,0.9571106094808126,0.7335640138408305,33.64534400926966,32.61263095223105,1.2778446998010373,32.85889733292062,886.0,848.0,1,37.57658845611187,5,3,0,0,0,0,0,3
73,518.0,94.01219330881976,1608.8629343629343,63.673745173745175,0.8655203072027559,0.955719557195572,0.699055330634278,36.58072709976581,18.3223290415046,-0.10533018113790801,25.68147355921802,542.0,518.0,1,39.11521443121589,3,1,0,0,0,0,0,1
74,1929.0,187.68124086713192,1778.3136340072576,70.05184033177812,0.5801595212445299,0.8685276902296263,0.6494949494949495,56.13338305844895,45.720801764875326,-1.1271921636597813,49.5588446374018,2221.0,1929.0,1,58.60034129593445,4,1,0,0,0,0,0,1
75,1162.0,153.08326112068522,388.8907056798623,60.00688468158348,0.8607813372647357,0.90852228303362,0.6370614035087719,56.24870264753876,28.6291800478553,1.5496223415676806,38.46432569254606,1279.0,1162.0,1,58.69412236331676,5,1,1,0,0,0,0,2
76,209.0,59.21320343559643,804.1483253588517,56.12918660287081,0.7987134129140097,0.9008620689655172,0.6785714285714286,21.588209144363102,12.989876483507997,0.024212185849705286,16.312788383647018,232.0,209.0,1,22.360679774997898,2,0,0,0,0,0,0,0
77,3846.0,271.6223663640862,589.2961518460738,93.52730109204369,0.5385986254454699,0.9055804097009654,0.5962790697674418,80.74187717907417,68.03007569918148,0.13121731836861666,69.97770565724083,4247.0,3846.0,1,90.24965373894794,6,1,0,0,0,0,0,1
79,2129.0,177.58073580374355,988.2315641146077,74.10051667449507,0.24567182154639802,0.9664094416704494,0.6912337662337662,53.45049881562852,51.812404617622335,-0.5762098453509295,52.064642424020946,2203.0,2129.0,1,57.87054518492115,7,2,0,0,0,0,0,2
80,410.0,88.87005768508881,490.96585365853656,56.84146341463415,0.9321806322529431,0.9425287356321839,0.7706766917293233,38.07389945242973,13.782502796724346,1.5452645222139068,22.847936741452536,435.0,410.0,1,38.3275357934736,4,1,1,0,0,0,0,2
81,422.0,80.5269119345812,914.3151658767772,64.43127962085308,0.6211669121423722,0.9483146067415731,0.705685618729097,26.625358214917565,20.865715282157833,-0.7221317418942225,23.179885415554555,445.0,422.0,1,29.832867780352597,2,0,0,0,0,0,0,0
82,2464.0,201.1370849898476,1239.8202110389611,89.32386363636364,0.6343155374294149,0.9429774205893608,0.6247464503042597,65.96153396968673,50.993163528853756,0.2691487139132882,56.01126885036118,2613.0,2464.0,1,69.63476143421474,6,4,0,0,0,0,0,4
83,4352.0,269.5868324581534,491.5618106617647,95.04365808823529,0.6333260829445718,0.9196956889264581,0.6886075949367089,85.60080844868818,66.24518603965217,0.779611189486402,74.43882386690045,4732.0,4352.0,1,92.0869154657707,9,2,3,0,0,0,0,5
84,1278.0,156.373629022557,292.981220657277,83.46635367762129,0.7403210810042088,0.9254163649529327,0.5144927536231884,51.250893552576954,34.45358985321236,0.8023400548923049,40.3385688661799,1381.0,1278.0,1,58.69412236331676,5,2,0,0,0,0,0,2
85,2242.0,196.35028842544403,1173.6262265834077,93.83987511150758,0.7540412271348192,0.9504027130139889,0.5978666666666667,67.90079121363969,44.59907918545058,0.40951023696856453,53.42848546698881,2359.0,2242.0,1,77.12976079309465,6,2,1,0,0,0,0,3
86,3751.0,244.49242404917499,204.50199946680885,94.3324446814183,0.7043974043833977,0.9760603695029925,0.6266288005345807,82.52818134872652,58.57898312095451,-1.070275986032299,69.10804245745639,3843.0,3751.0,1,83.54639429682169,6,2,1,0,0,0,0,3
87,1268.0,143.63961030678928,1552.3367507886435,81.7397476340694,0.7952820059358636,0.9591527987897126,0.672322375397667,52.21703402115056,31.656037195709025,-0.6774292740520307,40.180439802523146,1322.0,1268.0,1,54.817880294662984,7,1,1,0,0,0,0,2
88,1300.0,144.50966799187808,419.76,80.96846153846154,0.7678955925577031,0.9615384615384616,0.6274131274131274,51.22065930500194,32.81067496595988,1.4114965341112227,40.68428945128219,1352.0,1300.0,1,56.568542494923804,6,1,1,0,0,0,0,2
90,1905.0,199.47413408594534,1408.5994750656168,103.38845144356955,0.9308170050820237,0.9635811836115327,0.612934362934363,81.78652420061533,29.891794546902414,0.22741868439764154,49.24958205630262,1977.0,1905.0,1,86.34813257969161,6,3,0,0,0,0,0,3
91,2141.0,182.99494936611666,933.5903783278842,95.14385801027557,0.7428691509195517,0.9749544626593807,0.6722135007849294,64.32913245489242,43.064278747776754,-0.2763418234637997,52.2111660976652,2196.0,2141.0,1,65.37583651472461,8,2,1,0,0,0,0,3
93,3015.0,231.17871555019022,791.4905472636816,109.58407960199006,0.5967111564558497,0.9245630174793008,0.5844155844155844,71.15480791638011,57.09860980463864,-0.5166268005314316,61.95818934875773,3261.0,3015.0,1,82.28000972289685,1,0,0,0,0,0,0,0
94,1509.0,154.36753236814715,1123.4844267726971,91.88270377733599,0.7643260585828439,0.9660691421254801,0.6706666666666666,54.86901701131373,35.38118599604154,0.9353263189435276,43.8328469644097,1562.0,1509.0,1,56.4003546088143,7,0,1,0,0,0,0,1
96,3743.0,252.97770542341357,388.96927598183277,111.64627304301362,0.8325687994320184,0.9425837320574163,0.5776234567901235,93.50171999209876,51.792627005193616,0.6700271354909787,69.03430752853043,3971.0,3743.0,1,91.7877987534291,7,3,0,0,0,0,0,3
97,548.0,92.18376618407356,1023.3813868613139,86.01094890510949,0.5889913988748573,0.9448275862068966,0.6998722860791826,30.354897240715918,24.53098547993261,1.1765449603543416,26.414679072721462,580.0,548.0,1,33.015148038438355,4,1,0,0,0,0,0,1
98,865.0,143.58073580374355,1644.8127167630057,95.99306358381503,0.9309958131873591,0.8880903490759754,0.3917572463768116,57.632184956984304,21.037468180252016,-0.7111267769558337,33.186626918021,974.0,865.0,1,58.82176467941097,5,0,0,0,0,0,0,0
99,727.0,121.63351365237939,722.4222833562586,85.26547455295736,0.8614969724063829,0.7834051724137931,0.6609090909090909,44.74335402786106,22.71900655768642,1.5493490309738673,30.424416987387996,928.0,727.0,2,46.486557196677836,4,1,0,0,0,0,0,1
100,114.0,73.04772721475248,1518.5877192982457,87.60526315789474,0.9978802909242159,0.6745562130177515,0.11411411411411411,50.15478815305114,3.263888103217368,-0.9680748949956346,12.047792665040703,169.0,114.0,1,45.221676218380054,3,2,1,0,0,0,0,3
101,1120.0,135.7401153701776,1602.7589285714287,101.53571428571429,0.8329628067668169,0.9630266552020637,0.7427055702917772,51.05900151606145,28.252425341060924,0.13076991083841652,37.762789755305185,1163.0,1120.0,1,53.600373133029585,8,3,1,0,0,0,0,4
103,1507.0,207.88225099390857,1369.540809555408,124.29064366290643,0.9674422174129529,0.8093447905477981,0.49834656084656087,94.45356937841507,23.90544194200516,0.255509570844616,43.803789720934994,1862.0,1507.0,1,87.93179174792243,7,3,0,0,0,0,0,3
104,1412.0,152.61017305526642,1574.1614730878186,104.33215297450425,0.736064951600377,0.9540540540540541,0.6465201465201466,52.353346195642395,35.4385514835415,-0.16666953180406627,42.40063958439837,1480.0,1412.0,1,56.88585061331157,6,2,1,0,0,0,0,3
107,2210.0,215.43860018001263,1343.8366515837104,117.89049773755656,0.928060868647001,0.9372349448685326,0.6190476190476191,88.51698785481544,32.96625334575894,0.21322598089529587,53.04582352895192,2358.0,2210.0,1,88.05679985100527,6,4,0,0,0,0,0,4
108,1581.0,154.26702730475878,259.6350411132195,101.60657811511702,0.3518308950951368,0.9663814180929096,0.6721938775510204,46.718643293764494,43.731620380862914,-0.28828876127959546,44.866376276965944,1636.0,1581.0,1,50.00999900019995,6,4,0,0,0,0,0,4
110,112.0,57.45584412271572,135.25,85.58928571428571,0.8451815650687167,0.7088607594936709,0.5185185185185185,18.245896714120562,9.752054102602871,1.2421780488783627,11.941642642883693,158.0,112.0,1,18.439088914585774,0,0,0,0,0,0,0,0
111,1257.0,163.71067811865476,1383.9443118536196,108.5266507557677,0.929510709261841,0.9415730337078652,0.5542328042328042,66.4842857116749,24.519080202121653,0.350798547050886,40.005775929634204,1335.0,1257.0,1,66.73080248281148,4,4,0,0,0,0,0,4
113,2388.0,199.66399692442877,1664.320770519263,115.62562814070351,0.83060388481547,0.9754901960784313,0.5544462502902252,75.01425284112229,41.772714804189896,-0.5691635070766301,55.14069307532839,2448.0,2388.0,1,75.96051605933177,6,2,1,0,0,0,0,3
114,724.0,103.84062043356595,1091.3149171270718,97.00276243093923,0.6663706730689221,0.9679144385026738,0.7448559670781894,35.51081982707851,26.477599903482485,-0.016722290786084882,30.361578193306386,748.0,724.0,1,37.36308338453881,4,0,1,0,0,0,0,1
115,812.0,122.22539674441617,1518.1761083743843,104.0960591133005,0.854990949527398,0.9301260022909508,0.524547803617571,45.77552400659821,23.741151336465723,-0.7143647111121619,32.15385684991696,873.0,812.0,2,51.61395160225576,6,3,1,0,0,0,0,4
116,136.0,47.834523779156065,907.4117647058823,90.1029411764706,0.7800567144008304,0.8947368421052632,0.5506072874493927,17.15656474300396,10.735013810574776,0.3780321770966015,13.159049284959082,152.0,136.0,1,20.248456731316587,2,0,1,0,0,0,0,1
117,1138.0,138.78174593052023,965.0061511423551,108.60984182776801,0.701307751624367,0.9554995801847187,0.6030736618971914,45.9853831074911,32.78107756153984,0.042589815657239787,38.065031221695,1191.0,1138.0,1,51.97114584074513,5,3,0,0,0,0,0,3
118,1121.0,133.9827560572969,1061.9750223015164,97.33987511150758,0.4679675019564601,0.9459915611814346,0.7023809523809523,41.11581122111508,36.33592031824569,-1.5099053224978818,37.77964438223469,1185.0,1121.0,1,45.617978911828175,4,0,1,0,0,0,0,1
